:START_ID(Course),:END_ID(Term),:TYPE
BRRR 400,Spring2024,OFFERED_IN
BKKK 200,Fall2021,OFFERED_IN
BKKK 200,Fall2022,OFFERED_IN
BKKK 200,Fall2023,OFFERED_IN
BKKK 200,Fall2024,OFFERED_IN
BKKK 200,Spring2021,OFFERED_IN
BKKK 200,Spring2022,OFFERED_IN
BKKK 200,Spring2023,OFFERED_IN
BKKK 200,Spring2024,OFFERED_IN
BDDD 300,Fall2021,OFFERED_IN
BDDD 300,Fall2022,OFFERED_IN
BDDD 300,Fall2023,OFFERED_IN
BDDD 300,Fall2024,OFFERED_IN
BDDD 300,Spring2021,OFFERED_IN
BDDD 300,Spring2022,OFFERED_IN
BDDD 300,Spring2023,OFFERED_IN
BDDD 300,Spring2024,OFFERED_IN
BAAA 200-8,Fall2021,OFFERED_IN
BAAA 200-8,Fall2022,OFFERED_IN
BAAA 200-8,Fall2023,OFFERED_IN
BAAA 200-8,Fall2024,OFFERED_IN
BAAA 200-8,Spring2021,OFFERED_IN
BAAA 200-8,Spring2022,OFFERED_IN
BAAA 200-8,Spring2023,OFFERED_IN
BAAA 200-8,Spring2024,OFFERED_IN
BMMM 200,Fall2021,OFFERED_IN
BMMM 200,Fall2022,OFFERED_IN
BMMM 200,Fall2023,OFFERED_IN
BMMM 200,Fall2024,OFFERED_IN
BMMM 200,Spring2021,OFFERED_IN
BMMM 200,Spring2022,OFFERED_IN
BMMM 200,Spring2023,OFFERED_IN
BMMM 200,Spring2024,OFFERED_IN
BGGG 400,Fall2021,OFFERED_IN
BGGG 400,Fall2022,OFFERED_IN
BGGG 400,Fall2023,OFFERED_IN
BGGG 400,Fall2024,OFFERED_IN
BGGG 400,Spring2021,OFFERED_IN
BGGG 400,Spring2022,OFFERED_IN
BGGG 400,Spring2023,OFFERED_IN
BGGG 400,Spring2024,OFFERED_IN
BGGG 400,Summer2021,OFFERED_IN
BGGG 400,Summer2022,OFFERED_IN
BGGG 400,Summer2023,OFFERED_IN
BGGG 400,Summer2024,OFFERED_IN
BXXX 400,Fall2021,OFFERED_IN
BXXX 400,Fall2022,OFFERED_IN
BXXX 400,Fall2023,OFFERED_IN
BXXX 400,Fall2024,OFFERED_IN
BXXX 400,Spring2021,OFFERED_IN
BXXX 400,Spring2022,OFFERED_IN
BXXX 400,Spring2023,OFFERED_IN
BXXX 400,Spring2024,OFFERED_IN
BAAA 100,Fall2021,OFFERED_IN
BAAA 100,Fall2022,OFFERED_IN
BAAA 100,Fall2023,OFFERED_IN
BAAA 100,Fall2024,OFFERED_IN
BAAA 100,Spring2021,OFFERED_IN
BAAA 100,Spring2022,OFFERED_IN
BAAA 100,Spring2023,OFFERED_IN
BAAA 100,Spring2024,OFFERED_IN
BCCC 200,Fall2021,OFFERED_IN
BCCC 200,Fall2022,OFFERED_IN
BCCC 200,Fall2023,OFFERED_IN
BCCC 200,Fall2024,OFFERED_IN
BCCC 200,Spring2021,OFFERED_IN
BCCC 200,Spring2022,OFFERED_IN
BCCC 200,Spring2023,OFFERED_IN
BCCC 200,Spring2024,OFFERED_IN
BTTT 200,Fall2021,OFFERED_IN
BTTT 200,Fall2022,OFFERED_IN
BTTT 200,Fall2023,OFFERED_IN
BTTT 200,Fall2024,OFFERED_IN
BTTT 200,Spring2021,OFFERED_IN
BTTT 200,Spring2022,OFFERED_IN
BTTT 200,Spring2023,OFFERED_IN
BTTT 200,Spring2024,OFFERED_IN
BTTT 200,Summer2021,OFFERED_IN
BTTT 200,Summer2022,OFFERED_IN
BTTT 200,Summer2023,OFFERED_IN
BTTT 200,Summer2024,OFFERED_IN
BXXX 100,Fall2021,OFFERED_IN
BXXX 100,Fall2022,OFFERED_IN
BXXX 100,Fall2023,OFFERED_IN
BXXX 100,Fall2024,OFFERED_IN
BXXX 100,Spring2021,OFFERED_IN
BXXX 100,Spring2022,OFFERED_IN
BXXX 100,Spring2023,OFFERED_IN
BXXX 100,Spring2024,OFFERED_IN
BRRR 300,Fall2021,OFFERED_IN
BRRR 300,Fall2022,OFFERED_IN
BRRR 300,Fall2023,OFFERED_IN
BRRR 300,Fall2024,OFFERED_IN
BRRR 300,Spring2021,OFFERED_IN
BRRR 300,Spring2022,OFFERED_IN
BRRR 300,Spring2023,OFFERED_IN
BRRR 300,Spring2024,OFFERED_IN
BRRR 300,Summer2021,OFFERED_IN
BRRR 300,Summer2022,OFFERED_IN
BRRR 300,Summer2023,OFFERED_IN
BRRR 300,Summer2024,OFFERED_IN
BXXX 300,Fall2021,OFFERED_IN
BXXX 300,Fall2022,OFFERED_IN
BXXX 300,Fall2023,OFFERED_IN
BXXX 300,Fall2024,OFFERED_IN
BXXX 300,Spring2021,OFFERED_IN
BXXX 300,Spring2022,OFFERED_IN
BXXX 300,Spring2023,OFFERED_IN
BXXX 300,Spring2024,OFFERED_IN
BBBB 200,Fall2021,OFFERED_IN
BBBB 200,Fall2022,OFFERED_IN
BBBB 200,Fall2023,OFFERED_IN
BBBB 200,Fall2024,OFFERED_IN
BBBB 200,Spring2021,OFFERED_IN
BBBB 200,Spring2022,OFFERED_IN
BBBB 200,Spring2023,OFFERED_IN
BBBB 200,Spring2024,OFFERED_IN
BLLL 300,Fall2021,OFFERED_IN
BLLL 300,Fall2022,OFFERED_IN
BLLL 300,Fall2023,OFFERED_IN
BLLL 300,Fall2024,OFFERED_IN
BLLL 300,Spring2021,OFFERED_IN
BLLL 300,Spring2022,OFFERED_IN
BLLL 300,Spring2023,OFFERED_IN
BLLL 300,Spring2024,OFFERED_IN
BZZZ 200,Fall2021,OFFERED_IN
BZZZ 200,Fall2022,OFFERED_IN
BZZZ 200,Fall2023,OFFERED_IN
BZZZ 200,Fall2024,OFFERED_IN
BZZZ 200,Spring2021,OFFERED_IN
BZZZ 200,Spring2022,OFFERED_IN
BZZZ 200,Spring2023,OFFERED_IN
BZZZ 200,Spring2024,OFFERED_IN
BPPP 300,Fall2021,OFFERED_IN
BPPP 300,Fall2022,OFFERED_IN
BPPP 300,Fall2023,OFFERED_IN
BPPP 300,Fall2024,OFFERED_IN
BPPP 300,Spring2021,OFFERED_IN
BPPP 300,Spring2022,OFFERED_IN
BPPP 300,Spring2023,OFFERED_IN
BPPP 300,Spring2024,OFFERED_IN
BPPP 300,Summer2021,OFFERED_IN
BPPP 300,Summer2022,OFFERED_IN
BPPP 300,Summer2023,OFFERED_IN
BPPP 300,Summer2024,OFFERED_IN
BCCC 200-8,Fall2021,OFFERED_IN
BCCC 200-8,Fall2022,OFFERED_IN
BCCC 200-8,Fall2023,OFFERED_IN
BCCC 200-8,Fall2024,OFFERED_IN
BCCC 200-8,Spring2021,OFFERED_IN
BCCC 200-8,Spring2022,OFFERED_IN
BCCC 200-8,Spring2023,OFFERED_IN
BCCC 200-8,Spring2024,OFFERED_IN
BJJJ 100,Fall2021,OFFERED_IN
BJJJ 100,Fall2022,OFFERED_IN
BJJJ 100,Fall2023,OFFERED_IN
BJJJ 100,Fall2024,OFFERED_IN
BJJJ 100,Spring2021,OFFERED_IN
BJJJ 100,Spring2022,OFFERED_IN
BJJJ 100,Spring2023,OFFERED_IN
BJJJ 100,Spring2024,OFFERED_IN
BJJJ 100,Summer2021,OFFERED_IN
BJJJ 100,Summer2022,OFFERED_IN
BJJJ 100,Summer2023,OFFERED_IN
BJJJ 100,Summer2024,OFFERED_IN
BVVV 300-8,Fall2021,OFFERED_IN
BVVV 300-8,Fall2022,OFFERED_IN
BVVV 300-8,Fall2023,OFFERED_IN
BVVV 300-8,Fall2024,OFFERED_IN
BVVV 300-8,Spring2021,OFFERED_IN
BVVV 300-8,Spring2022,OFFERED_IN
BVVV 300-8,Spring2023,OFFERED_IN
BVVV 300-8,Spring2024,OFFERED_IN
BPPP 100,Fall2021,OFFERED_IN
BPPP 100,Fall2022,OFFERED_IN
BPPP 100,Fall2023,OFFERED_IN
BPPP 100,Fall2024,OFFERED_IN
BPPP 100,Spring2021,OFFERED_IN
BPPP 100,Spring2022,OFFERED_IN
BPPP 100,Spring2023,OFFERED_IN
BPPP 100,Spring2024,OFFERED_IN
BQQQ 400-5,Fall2021,OFFERED_IN
BQQQ 400-5,Fall2022,OFFERED_IN
BQQQ 400-5,Fall2023,OFFERED_IN
BQQQ 400-5,Fall2024,OFFERED_IN
BQQQ 400-5,Spring2021,OFFERED_IN
BQQQ 400-5,Spring2022,OFFERED_IN
BQQQ 400-5,Spring2023,OFFERED_IN
BQQQ 400-5,Spring2024,OFFERED_IN
BQQQ 400-5,Summer2021,OFFERED_IN
BQQQ 400-5,Summer2022,OFFERED_IN
BQQQ 400-5,Summer2023,OFFERED_IN
BQQQ 400-5,Summer2024,OFFERED_IN
BJJJ 200,Fall2021,OFFERED_IN
BJJJ 200,Fall2022,OFFERED_IN
BJJJ 200,Fall2023,OFFERED_IN
BJJJ 200,Fall2024,OFFERED_IN
BJJJ 200,Spring2021,OFFERED_IN
BJJJ 200,Spring2022,OFFERED_IN
BJJJ 200,Spring2023,OFFERED_IN
BJJJ 200,Spring2024,OFFERED_IN
BLLL 300-3,Fall2021,OFFERED_IN
BLLL 300-3,Fall2022,OFFERED_IN
BLLL 300-3,Fall2023,OFFERED_IN
BLLL 300-3,Fall2024,OFFERED_IN
BLLL 300-3,Spring2021,OFFERED_IN
BLLL 300-3,Spring2022,OFFERED_IN
BLLL 300-3,Spring2023,OFFERED_IN
BLLL 300-3,Spring2024,OFFERED_IN
BXXX 400-1,Fall2021,OFFERED_IN
BXXX 400-1,Fall2022,OFFERED_IN
BXXX 400-1,Fall2023,OFFERED_IN
BXXX 400-1,Fall2024,OFFERED_IN
BXXX 400-1,Spring2021,OFFERED_IN
BXXX 400-1,Spring2022,OFFERED_IN
BXXX 400-1,Spring2023,OFFERED_IN
BXXX 400-1,Spring2024,OFFERED_IN
BFFF 300,Fall2021,OFFERED_IN
BFFF 300,Fall2022,OFFERED_IN
BFFF 300,Fall2023,OFFERED_IN
BFFF 300,Fall2024,OFFERED_IN
BFFF 300,Spring2021,OFFERED_IN
BFFF 300,Spring2022,OFFERED_IN
BFFF 300,Spring2023,OFFERED_IN
BFFF 300,Spring2024,OFFERED_IN
BFFF 300,Summer2021,OFFERED_IN
BFFF 300,Summer2022,OFFERED_IN
BFFF 300,Summer2023,OFFERED_IN
BFFF 300,Summer2024,OFFERED_IN
BEEE 300,Fall2021,OFFERED_IN
BEEE 300,Fall2022,OFFERED_IN
BEEE 300,Fall2023,OFFERED_IN
BEEE 300,Fall2024,OFFERED_IN
BEEE 300,Spring2021,OFFERED_IN
BEEE 300,Spring2022,OFFERED_IN
BEEE 300,Spring2023,OFFERED_IN
BEEE 300,Spring2024,OFFERED_IN
BEEE 300,Summer2021,OFFERED_IN
BEEE 300,Summer2022,OFFERED_IN
BEEE 300,Summer2023,OFFERED_IN
BEEE 300,Summer2024,OFFERED_IN
BIII 300-7,Fall2021,OFFERED_IN
BIII 300-7,Fall2022,OFFERED_IN
BIII 300-7,Fall2023,OFFERED_IN
BIII 300-7,Fall2024,OFFERED_IN
BIII 300-7,Spring2021,OFFERED_IN
BIII 300-7,Spring2022,OFFERED_IN
BIII 300-7,Spring2023,OFFERED_IN
BIII 300-7,Spring2024,OFFERED_IN
BLLL 100,Fall2021,OFFERED_IN
BLLL 100,Fall2022,OFFERED_IN
BLLL 100,Fall2023,OFFERED_IN
BLLL 100,Fall2024,OFFERED_IN
BLLL 100,Spring2021,OFFERED_IN
BLLL 100,Spring2022,OFFERED_IN
BLLL 100,Spring2023,OFFERED_IN
BLLL 100,Spring2024,OFFERED_IN
BLLL 100,Summer2021,OFFERED_IN
BLLL 100,Summer2022,OFFERED_IN
BLLL 100,Summer2023,OFFERED_IN
BLLL 100,Summer2024,OFFERED_IN
BJJJ 200-2,Fall2021,OFFERED_IN
BJJJ 200-2,Fall2022,OFFERED_IN
BJJJ 200-2,Fall2023,OFFERED_IN
BJJJ 200-2,Fall2024,OFFERED_IN
BJJJ 200-2,Spring2021,OFFERED_IN
BJJJ 200-2,Spring2022,OFFERED_IN
BJJJ 200-2,Spring2023,OFFERED_IN
BJJJ 200-2,Spring2024,OFFERED_IN
BSSS 300,Fall2021,OFFERED_IN
BSSS 300,Fall2022,OFFERED_IN
BSSS 300,Fall2023,OFFERED_IN
BSSS 300,Fall2024,OFFERED_IN
BSSS 300,Spring2021,OFFERED_IN
BSSS 300,Spring2022,OFFERED_IN
BSSS 300,Spring2023,OFFERED_IN
BSSS 300,Spring2024,OFFERED_IN
